Train Number,Train Name,Source,Destination,Departure,Arrival,Journey Time (mins),Distance (km),Line/Route,Division,Direction
37102,Arambagh - Howrah Local,Arambagh,Howrah,03:00,04:53,113,81,Tarakeswar Line,Howrah,DOWN
37104,Arambagh - Howrah Local,Arambagh,Howrah,03:42,05:35,113,81,Tarakeswar Line,Howrah,DOWN
37106,Arambagh - Howrah Local,Arambagh,Howrah,04:23,06:16,113,81,Tarakeswar Line,Howrah,DOWN
37108,Arambagh - Howrah Local,Arambagh,Howrah,05:01,06:56,115,81,Tarakeswar Line,Howrah,DOWN
37110,Arambagh - Howrah Local,Arambagh,Howrah,05:41,07:33,112,81,Tarakeswar Line,Howrah,DOWN
37112,Arambagh - Howrah Local,Arambagh,Howrah,06:22,08:17,115,81,Tarakeswar Line,Howrah,DOWN
37114,Arambagh - Howrah Local,Arambagh,Howrah,07:03,08:59,116,81,Tarakeswar Line,Howrah,DOWN
37116,Arambagh - Howrah Local,Arambagh,Howrah,07:44,09:37,113,81,Tarakeswar Line,Howrah,DOWN
37118,Arambagh - Howrah Local,Arambagh,Howrah,08:24,10:19,115,81,Tarakeswar Line,Howrah,DOWN
37120,Arambagh - Howrah Local,Arambagh,Howrah,09:02,10:59,117,81,Tarakeswar Line,Howrah,DOWN
37122,Arambagh - Howrah Local,Arambagh,Howrah,09:40,11:36,116,81,Tarakeswar Line,Howrah,DOWN
37124,Arambagh - Howrah Local,Arambagh,Howrah,10:21,12:16,115,81,Tarakeswar Line,Howrah,DOWN
37126,Arambagh - Howrah Local,Arambagh,Howrah,10:59,12:52,113,81,Tarakeswar Line,Howrah,DOWN
37128,Arambagh - Howrah Local,Arambagh,Howrah,11:39,13:31,112,81,Tarakeswar Line,Howrah,DOWN
37130,Arambagh - Howrah Local,Arambagh,Howrah,12:20,14:14,114,81,Tarakeswar Line,Howrah,DOWN
37132,Arambagh - Howrah Local,Arambagh,Howrah,13:01,14:58,117,81,Tarakeswar Line,Howrah,DOWN
37134,Arambagh - Howrah Local,Arambagh,Howrah,13:43,15:41,118,81,Tarakeswar Line,Howrah,DOWN
37136,Arambagh - Howrah Local,Arambagh,Howrah,14:22,16:15,113,81,Tarakeswar Line,Howrah,DOWN
37138,Arambagh - Howrah Local,Arambagh,Howrah,15:00,16:57,117,81,Tarakeswar Line,Howrah,DOWN
37140,Arambagh - Howrah Local,Arambagh,Howrah,15:42,17:34,112,81,Tarakeswar Line,Howrah,DOWN
37142,Arambagh - Howrah Local,Arambagh,Howrah,16:21,18:16,115,81,Tarakeswar Line,Howrah,DOWN
